Plant,TÊN CỬA HÀNG,Chi nhánh,TỈNH/TP (TRÊN SAP),Tier,Latitude,Longitude,Total View GMB,Tin nhắn FMB x ZMB,Chỉ đường GMB,Điểm 5* GMB
missing_006,"PNJ tại Vincom Plaza Imperia, Quận Hồng Bàng, Hải Phòng",,,,,,0,85,0,0.0
missing_007,"PNJ tại Vincom Plaza Việt Trì, Việt Trì, Phú Thọ",,,,,,0,792,0,0.0
missing_008,Plant - (GMB unmatched),,,,,,0,0,0,0.0
missing_009,Plant 1152 (GMB unmatched),,,,,,8286,0,204,5.0
missing_010,Plant 1154 (GMB unmatched),,,,,,5762,0,124,5.0
missing_011,Plant 1166 (GMB unmatched),,,,,,11470,0,52,0.0
missing_012,Plant 1183 (GMB unmatched),,,,,,8196,0,204,0.0
missing_013,Plant 1301 (GMB unmatched),,,,,,2001,0,77,0.0
missing_014,Plant 1302 (GMB unmatched),,,,,,3122,0,68,0.0
missing_015,Plant 1308 (GMB unmatched),,,,,,4018,0,112,0.0
missing_016,Plant 1328 (GMB unmatched),,,,,,4016,0,104,0.0
missing_017,Plant 1402 (GMB unmatched),,,,,,149,0,86,0.0
missing_018,Plant 1431 (GMB unmatched),,,,,,472,0,88,0.0
missing_019,Plant 1486 (GMB unmatched),,,,,,8132,0,147,0.0
missing_020,Plant 1536 (GMB unmatched),,,,,,3137,0,102,0.0
missing_021,Plant 1650 (GMB unmatched),,,,,,0,0,0,0.0
missing_022,Plant 2399 (GMB unmatched),,,,,,0,0,0,0.0
missing_023,Thanh Kiều - Nhang Thảo Mộc,,,,,,0,2,0,0.0
missing_024,PNJ Careers - Tuyển dụng Chi nhánh Miền Tây,,,,,,0,7,0,0.0
missing_025,"PNJ tại GO Thăng Long, Quận Cầu Giấy",,,,,,0,51,0,0.0
missing_026,Trang sức PNJ Coop GiaLai,,,,,,0,2,0,0.0
